,company,wikidata_id,product_score,report_evidence_binary,report_evidence_content,average_sentiment_impactful,score_before_graph,graph_group_average,final_score
0,3M Co,Q159433,0,False,nothing,-16.44388888888888,-1,-1.0,-1.0
1,A O Smith Corp,Q4648219,0,True,The Board frequently reviews the company s corporate governance practices and periodically reviews the company s environmental and social strategies including our strategy as it relates to the management of climate change risks and realizing emerging opportunities,2.3400000000000007,2,2.0,2.0
2,A O Smith Corp,Q4648219,0,True,Corporate Responsibility Sustainability Report Details of the positive impact of our highly efficient products announcement of our first greenhouse gas emissions G HG reduction goal of 10 by 2025,2.3400000000000007,2,2.0,2.0
3,A O Smith Corp,Q4648219,0,True,2018 Corporate Responsibility Sustainability Report which documents the company s ongoing environmental social and governance activities and performance,2.3400000000000007,2,2.0,2.0
4,A O Smith Corp,Q4648219,0,True,These plans consider long term sustainability implications and the ability to meet evolving customer needs related to climate change risk management and lower greenhouse gas emissions technology,2.3400000000000007,2,2.0,2.0
5,A O Smith Corp,Q4648219,0,True,Examples include but are not limited to exploring the opportunity for further energy and water savings exploring the use of new renewable energy supplies and making environmentally friendly modifications to our facilities that use less water and energy to design sales and installation of our high efficiency products contribute to de carbon iz ation goals by reducing energy and water use and in turn reducing greenhouse gas emissions,2.3400000000000007,2,2.0,2.0
6,A O Smith Corp,Q4648219,0,True,The scorecard provides a framework by which facilities can assess capital projects for their impact on our energy greenhouse gas emissions water and waste footprints,2.3400000000000007,2,2.0,2.0
7,A O Smith Corp,Q4648219,0,True,Climate 1 goal Greenhouse Gas Emissions Intensity Metric Tons CO 2 eM M revenue 56,2.3400000000000007,2,2.0,2.0
8,A O Smith Corp,Q4648219,0,True,The scorecard has been deployed in North America with all 2020 capital projects having been assessed for their environmental impact vs,2.3400000000000007,2,2.0,2.0
9,a2 Milk Co Ltd,Q22909318,0,True,What s next We recognise that how we position ourselves in response to these climate risks and opportunities will determine how future fit our business is,-8.46,0,0.0,0.0
10,ABB Ltd,Q52825,0,True,Our solutions and responsible business practices drive sustainability across our value chain and contribute to the United Nations Sustainable Development Goals,68.70545454545454,2,2.0,2.0
11,ABB Ltd,Q52825,0,True,Group Sustainability ABB Sustainability Reports ABB Sustainability Reports Sustainability Report 2020 As a technology leader we focus on those areas where we can make the biggest impact reducing carbon emissions preserving resources and promoting social progress,68.70545454545454,2,2.0,2.0
12,ABB Ltd,Q52825,0,True,The Sustainability Board will oversee policies and programs review developments and monitor progress towards our targets,68.70545454545454,2,2.0,2.0
13,ABB Ltd,Q52825,0,True,Our sustainability strategy supports the achievement of all 17 of the United Nations Sustainable Development Goals,68.70545454545454,2,2.0,2.0
14,ABB Ltd,Q52825,0,True,The Sustainability Board is advised by a Sustainability Council consisting of experts from our Group sustainability function as well as of all our Business Areas,68.70545454545454,2,2.0,2.0
15,ABB Ltd,Q52825,0,True,Policies statements and declarations Our sustainability commitments cover environmental social and governance performance and are codified in policies statements and declarations,68.70545454545454,2,2.0,2.0
16,ABB Ltd,Q52825,0,True,To ensure progress towards our sustainability targets sustainability KP Is are being included in the business reviews of each of our Business Areas in the same way as financial KP Is,68.70545454545454,2,2.0,2.0
17,ABB Ltd,Q52825,0,True,Implementation of the strategy is driven by our Sustainability Board comprising the full Group Executive Committee,68.70545454545454,2,2.0,2.0
18,Abbott Laboratories,Q306764,0,True,Protect a healthy environment Were working across our operations and with key suppliers to sustain ably manage our water use and address climate change by reducing carbon emissions and expanding renewable energy,-6.77,0,0.0,0.0
19,Abbott Laboratories,Q306764,0,True,Our 2030 Sustainability Plan is focused on designing access and afford ability into our life changing technologies and products,-6.77,0,0.0,0.0
20,Abbott Laboratories,Q306764,0,True,Sign up to receive updates on Abbotts Sustainability Social Impact Enter your email address to receive our It All Adds Up quarterly newsletter,-6.77,0,0.0,0.0
21,Abbott Laboratories,Q306764,0,True,Work with our key carbon intensive suppliers to implement sustainable programs to reduce our Scope 3 carbon emissions,-6.77,0,0.0,0.0
22,AbbVie Inc,Q14662364,0,True,opens in a new window ambitious organizations in collective action on climate by aligning our commitments to the Paris Climate in a new window Learn in a new window,-26.65,0,0.0,0.0
23,AbbVie Inc,Q14662364,0,True,We focus on key areas of environmental stewardship energy water waste pharmaceuticals in the environment and environmentally responsible procurement,-26.65,0,0.0,0.0
24,AbbVie Inc,Q14662364,0,True,Advancing Environmental Sustainability For the Strength of Our Communities Societal Impact Abb Vie Skip to main content Global EN Africa Algeria South Africa and Sub Saharan Africa Tunisia Asia Pacific Australia China Hong Kong Japan Korea Malaysia New Zealand Singapore Taiwan Europe Austria Belgium FR NL Bosnia Herzegovina Bulgaria Croatia Czech Republic Denmark Finland France Germany Greece Hungary Ireland Italy Netherlands Norway Poland Portugal Romania Russia Serbia Slovakia Slovenia Spain Sweden Switzerland DE FR Turkey Ukraine United Kingdom Latin America Caribbean Mexico Puerto Rico Middle East Israel Lebanon Saudi Arabia UAE North America Canada EN FR United States South America Argentina Brazil Chile Colombia Uruguay Investors News Center Patient Assistance,-26.65,0,0.0,0.0
25,AbbVie Inc,Q14662364,0,True,In 2020 we partnered with SP Global Tru cost to perform a Climate Risk Assessment for Physical Risks,-26.65,0,0.0,0.0
26,AbbVie Inc,Q14662364,0,True,ambitious environmental sustainability targets by managing energy use and our supply chain,-26.65,0,0.0,0.0
27,AbbVie Inc,Q14662364,0,True,We seek sustainable solutions that support the health of our planet,-26.65,0,0.0,0.0
28,AbbVie Inc,Q14662364,0,True,In order to understand our current and future energy use and emissions we have implemented a global energy management program focused on reducing our energy consumption and reducing our carbon footprint,-26.65,0,0.0,0.0
29,AbbVie Inc,Q14662364,0,True,Below are a number of examples In 2021 we joined Based along with other ambitious corporate leaders committing to carbon emission targets aligned to the Paris Climate Agreement,-26.65,0,0.0,0.0
30,ABN AMRO Bank NV,Q287471,0,False,nothing,-52.13,-1,-1.0,-1.0
31,Accenture PLC,Q338825,0,True,Environmental risks Every year since 2007 Accent ure has re ported our environmental performance to CDP including our environmental risks opportunities and methodologies on climate change mitigation and ad apt ation,49.09142857142857,2,2.0,2.0
32,Accenture PLC,Q338825,0,True,Chair CEO U NGC Accent ure CEO Study on Sustainability Climate leadership in the eleventh hour Our latest study on Sustainability shares opportunities and challenges for leaders to address the climate crisis,49.09142857142857,2,2.0,2.0
33,Accenture PLC,Q338825,0,True,Accountability for our environmental strat e gy starts with our global chairman and CEO and cascades to the governance bod ies that oversee our environmental policy,49.09142857142857,2,2.0,2.0
34,Accenture PLC,Q338825,0,True,These in form our Environmental Resp on si bil it y policy which the Danish Environment operation committee established in 2007 and reviews annually,49.09142857142857,2,2.0,2.0
35,Accenture PLC,Q338825,0,True,Together with our partners were helping to solve the biggest problems our clients and the world face to achieve the United Nations Sustainable Development Goals and tackle climate change,49.09142857142857,2,2.0,2.0
36,Accenture PLC,Q338825,0,True,At Accent ure in Denmark the following stake holder groups have been ident ii ed as key to our sustainability prior it iz ation To prioritize our global report content we review our non in an cia l mate rial it y matrix annually to ensure the topics remain accurate and relevant,49.09142857142857,2,2.0,2.0
37,Accenture PLC,Q338825,0,True,Reducing our environmental impact is in grained in our Code of Business Ethics and our core values spec ii call y Stewardship,49.09142857142857,2,2.0,2.0
38,Accenture PLC,Q338825,0,True,In 2017 in accordance with Task Force on Climate related Financial we updated our Global in an cia l i ling s to include the is cal impact of these and associated risks As a global company we are more susceptible to certain risks,49.09142857142857,2,2.0,2.0
39,Accenture PLC,Q338825,0,True,VIEW MORE ARTICLES Sustainability blogs Discover sustainability stories from our leading bloggers,49.09142857142857,2,2.0,2.0
40,Accor SA,Q212599,0,True,With regard to the implementation of our net zero commitment a Carbon Steering Committee the development and operation a liza project work streams with stakeholders to implement our de carbon iz ation strategy,160.8957142857143,2,2.0,2.0
41,Accor SA,Q212599,0,True,This level of movement has a natural impact on our planet and in this context the Group is aware of its great responsibility towards sustainability leadership to manage responsibly its activities it facilitates and create opportunities for the people working and living in its ecosystem,160.8957142857143,2,1.5,2.0
42,Activision Blizzard Inc,Q344341,0,False,nothing,-88.65299999999999,-1,-1.0,-1.0
43,Adani Transmission Ltd,Q83472792,1,True,Key aspects of our environment strategy Integrating climate considerations into key business decision making and managing related risks through our corporate enterprise risk management system Taking an active and constructive role on new climate change policy solutions with governments industry associations environmental organisations and communities Improving emission intensities all our facilities Tracking and reporting our efforts to reduce energy use and carbon emissions Environmental Factors Impacting ATL s Business Mode Carbon Emissions Climate Awareness Resource the Carbon Footprint Increase in renewable procurement for the distribution business Awarded 700 MW of Solar Wind Power contracts to be available by or before FY 22,15.06,3,3.0,3.0
44,Adani Transmission Ltd,Q83472792,1,True,Our enterprise risk management process and business continuity plans have been activated in the light of the C OVID 19 crisis ensuring the supply of power and availability of critical infrastructure during the Environmental Stewardship Status Addressing climate change is a common agenda for businesses government and citizens a like,15.06,3,3.0,3.0
