,company,wikidata_id,product_score,report_evidence_binary,report_evidence_content,average_sentiment_impactful,score_before_graph,graph_group_average,final_score
0,3M Co,Q159433,0,False,nothing,-16.44388888888888,-1,-1.0,-1.0
1,A O Smith Corp,Q4648219,0,True,2018 Corporate Responsibility Sustainability Report which documents the company s ongoing environmental social and governance activities and performance,2.3400000000000007,2,2.0,2.0
2,A O Smith Corp,Q4648219,0,True,Working alongside ERM a leading global provider of sustainability consulting services we systematically identified opportunities in manufacturing operations that will reduce and conserve water gas and electricity consumption and associated G HG EFFICIENCY The A,2.3400000000000007,2,2.0,2.0
3,A O Smith Corp,Q4648219,0,True,Please see the earlier section titled Our Products Innovative Customer Centric Efficient for a discussion of how the efficiency of our products and materials stewardship contribute to reducing environmental impacts in our Study A,2.3400000000000007,2,2.0,2.0
4,A O Smith Corp,Q4648219,0,True,RESPONSIBILITY SUSTAINABILITY REPORT RESPONSIBILITY SUSTAINABILITY REPORT 2020 Operational Discipline Operating our manufacturing and distribution facilities responsibly is a priority and strength for our company,2.3400000000000007,2,2.0,2.0
5,A O Smith Corp,Q4648219,0,True,RESPONSIBILITY SUSTAINABILITY REPORT 2020 Incident Investigation and Corrective Action In the event of a product incident or nonconformity we have procedures in place to ensure that outputs that do not conform to their requirements are identified and controlled to prevent their unintended use or delivery,2.3400000000000007,2,2.0,2.0
6,a2 Milk Co Ltd,Q22909318,0,False,nothing,-8.46,-1,-1.0,-1.0
7,ABB Ltd,Q52825,1,True,Through our leading technologies and sustainable business practices we enable seven of the SD G goals directly 7 affordable and clean energy 11 sustainable cities and communities 9 industry innovation and infrastructure 6 clean water and sanitation 12 responsible consumption and production 8 decent work and economic growth and 17 partnership for the goals,68.70545454545454,3,3.0,3.0
8,ABB Ltd,Q52825,1,True,Through our leading technologies and sustainable business practices we enable seven of the SD G goals directly 7 affordable and clean energy 11 sustainable cities and communities 9 industry innovation and infrastructure 6 clean water and sanitation 12 responsible consumption and production 8 decent work and economic growth and 17 partnership for the goals,68.70545454545454,3,3.0,3.0
9,Abbott Laboratories,Q306764,0,True,And well reduce the environmental impact of our product packaging and minimize waste in our operations through reuse and recycling programs across our company,-6.77,0,0.0,0.0
10,AbbVie Inc,Q14662364,0,True,We monitor our operations to ensure that the manufacture use and disposal of our products do not adversely affect people or the planet,-26.65,0,0.0,0.0
11,AbbVie Inc,Q14662364,0,True,We focus on key areas of environmental stewardship energy water waste pharmaceuticals in the environment and environmentally responsible procurement,-26.65,0,0.0,0.0
12,AbbVie Inc,Q14662364,0,True,We recognize the environmental risks associated with operating a global business so we have set ambitious long term environmental sustainability targets for absolute reductions to carbon emissions water and waste generation striving for zero waste to landfill at our sites all while driving increases in renewable electricity and fleet sustainability,-26.65,0,0.0,0.0
13,AbbVie Inc,Q14662364,0,True,Energy Abb Vie strives to understand our current and future energy use and emissions balancing the competing objectives of business operations and minimizing environmental have implemented a global energy management program focusing on reducing the energy we consume and reducing our carbon footprint,-26.65,0,0.0,0.0
14,AbbVie Inc,Q14662364,0,True,Describe your sustainability efforts with goals and targets that focus on Reduction of hazardous materials in products and services including packaging Providing a safe and healthful workplace for employees Reducing waste sent to the environment Incorporating an environmental health safety management system into your operations,-26.65,0,0.0,0.0
15,AbbVie Inc,Q14662364,0,True,ambitious environmental sustainability targets by managing energy use and our supply chain,-26.65,0,0.0,0.0
