,company,wikidata_id,product_score,report_evidence_binary,report_evidence_content,average_sentiment_impactful,score_before_graph,graph_group_average,final_score
0,3M Co,Q159433,0,False,nothing,-16.44388888888888,-1,-1.0,-1.0
1,A O Smith Corp,Q4648219,0,False,nothing,2.3400000000000007,1,1.0,1.0
2,a2 Milk Co Ltd,Q22909318,0,False,nothing,-8.46,-1,-1.0,-1.0
3,ABB Ltd,Q52825,0,True,Through our leading technologies and sustainable business practices we enable seven of the SD G goals directly 7 affordable and clean energy 11 sustainable cities and communities 9 industry innovation and infrastructure 6 clean water and sanitation 12 responsible consumption and production 8 decent work and economic growth and 17 partnership for the goals,68.70545454545454,2,2.0,2.0
4,ABB Ltd,Q52825,0,True,Through our leading technologies and sustainable business practices we enable seven of the SD G goals directly 7 affordable and clean energy 11 sustainable cities and communities 9 industry innovation and infrastructure 6 clean water and sanitation 12 responsible consumption and production 8 decent work and economic growth and 17 partnership for the goals,68.70545454545454,2,2.0,2.0
5,ABB Ltd,Q52825,0,True,We have a complete portfolio of industrial technology products for customers in utilities industry transport and infrastructure,68.70545454545454,2,2.0,2.0
6,ABB Ltd,Q52825,0,True,We have a complete portfolio of industrial technology products for customers in utilities transport and infrastructure,68.70545454545454,2,2.0,2.0
7,ABB Ltd,Q52825,0,True,Products Systems Offerings A Z Services Where to buy Industry Solutions Channel partners Buildings infrastructure Industrial automation Marine ports Oil gas Power generation Investors Investor shareholder resources Quarterly results annual reports Corporate governance Calendar events and publications Company Customer events News media Who we are Innovation Careers Sustainability Our values Supplying ABB Provider information Impress um Privacy Notice Change cookie settings Facebook Insta gram Linked in Twitter Youtube settings,68.70545454545454,2,2.0,2.0
8,Abbott Laboratories,Q306764,0,False,nothing,-6.77,-1,-1.0,-1.0
9,AbbVie Inc,Q14662364,0,True,Invest in technology and infrastructure to reduce our carbon footprint through the implementation of global energy efficiency programs projects and improvements at our manufacturing research and commercial facilities,-26.65,0,0.0,0.0
10,AbbVie Inc,Q14662364,0,True,Invest in technology and infrastructure to reduce our carbon footprint through the implementation of energy efficiency programs projects and improvements at our manufacturing research and commercial facilities around the globe,-26.65,0,0.0,0.0
11,ABN AMRO Bank NV,Q287471,0,False,nothing,-52.13,-1,-1.0,-1.0
12,Accenture PLC,Q338825,0,True,With a global multi billion dol lar supply chain we can leverage our purchasing power to drive positive change on a global scale and to create a more inclusive digital our six main purchasing cate go ries contractors HR and professional services IT and telecom marketing and communications travel and mobility,49.09142857142857,2,2.0,2.0
13,Accor SA,Q212599,0,False,nothing,160.8957142857143,1,1.0,1.0
14,Activision Blizzard Inc,Q344341,0,False,nothing,-88.65299999999999,-1,-1.0,-1.0
15,Adani Transmission Ltd,Q83472792,0,True,This report also articulates our disclosures on the CSR initiatives focused on Education Community Health Sustainable Livelihood and Rural Infrastructure Development under Social and Relationship in 1988 A dani Group is a global integrated infrastructure player with businesses in key industry verticals comprising energy resources logistics and a gro among Group The integrated model of the business is well attuned to the infrastructure challenges of emerging economies,15.06,2,2.0,2.0
16,Adani Transmission Ltd,Q83472792,0,True,transmission infrastructure requirements and prior it is ed for policy advocacy for awarding intra state transmission project on the TB CB Management capital Human capital Intellectual capital Social and relationship capital Natural capital Financial capital 60 Key Risks Mitigation Strategy Capital Linkage completion of acquisitions or businesses technologies and products that we acquire may affect our operations Pro actively approaching the companies to gauge their keenness for selling off assets,15.06,2,2.0,2.0
17,adidas AG,Q3895,0,False,nothing,136.77517241379311,1,1.0,1.0
18,Adient PLC,Q26832896,0,False,nothing,-4.69,-1,-1.0,-1.0
19,Adobe Inc,Q11463,0,True,We advocate for local regional and federal policies to de carbon ize and modernize our grids and open them up to renewable energy for everyone not just our own business,46.590384615384615,2,2.0,2.0
20,ADT Inc,Q290680,0,False,nothing,12.25,1,1.0,1.0
21,Adtalem Global Education Inc,Q5244154,0,False,nothing,5.67,1,1.0,1.0
22,Advance Auto Parts Inc,Q4686051,0,False,nothing,-4.515000000000001,-1,-1.0,-1.0
23,Advanced Drainage Systems Inc,Q60745531,0,False,nothing,0.3400000000000001,1,1.0,1.0
24,Advanced Micro Devices Inc,Q128896,0,False,nothing,56.13510204081632,1,1.0,1.0
25,Adyen NV,Q4686934,0,False,nothing,29.82,1,1.0,1.0
26,AECOM,Q2825507,1,True,Podcast Taking infrastructure discusses the industry s hot topics key projects and groundbreaking innovation Buildings Cities Design Infrastructure Innovation Re silence Without Limits Press Releases Blog Podcast More News Careers News Investors Locations Our offices We have offices around the world,-35.2,1,1.0,1.0
27,AECOM,Q2825507,1,True,Transforming Tomorrow Sustainability Report 2016 This years theme Transforming Tomorrow shows how A E COMs greatest opportunity to shape the future is by managing our clients complex economic social and natural investments critical infrastructure and deliver international development programs that unlock opportunities protect the environment and improve lives,-35.2,1,1.0,1.0
28,AECOM,Q2825507,1,True,We believe infrastructure creates opportunity for everyone uplifting communities improving access and sustaining our planet and we applaud the passage of the Infrastructure Investment and Jobs Act,-35.2,1,1.0,1.0
29,AES Corp,Q291508,1,True,Extends relationships with commercial and industrial customers that will be critical to collaborative ly developing long term industrial de carbon iz ation Logistics We develop infrastructure solutions and manage complex logistics to ensure customers and whole economies have reliable energy from cleaner natural gas fuel sources where and when they need it,51.00000000000001,3,3.0,3.0
30,Ageas SA/NV,Q392338,0,False,nothing,-6.386,-1,-1.0,-1.0
31,Agilent Technologies Inc,Q393762,0,True,EC 8 DEVELOPMENT AND IMPACT OF INFRASTRUCTURE INVESTMENTS AND SERVICES PROVIDED PRIMARILY FOR PUBLIC BENEFIT THROUGH COMMERCIAL IN KIND OR PRO BONO ENGAGEMENT In fiscal 2012 through our businesses employee programs and foundation our philanthropic efforts totaled over 10 million,380.1575,2,2.0,2.0
32,AIA Group Ltd,Q1152465,0,False,nothing,-11.7,-1,-1.0,-1.0
33,AIB Group PLC,Q1642179,1,False,nothing,-12.522499999999996,0,0.0,0.0
34,Air Liquide SA,Q407448,0,True,The priorities in this area form part of a long term process the competitiveness of companies at worldwide level air quality as a key public health challenge energy transition and the environment with the boom in alternative energies hydrogen energy biogas es photovoltaic wind turbines etc,131.552,2,2.0,2.0
35,Ajinomoto Co Inc,Q412826,0,False,nothing,4.46,1,1.0,1.0
36,Akamai Technologies Inc,Q415598,0,False,nothing,264.46,1,1.0,1.0
37,Akbank TAS,Q416624,0,True,Industry In ovation and Infrastructure Value Added to Our Customers Pages 54 8411,0.0,0,0.0,0.0
38,Akzo Nobel NV,Q50912,1,True,We work closely with academia NGOs governments and industry peers and actively participate in various organizations including the World Green Building Council RE 100 towards our renewable electricity ambition The Ocean Cleanup to help support their mission on tacking plastic in the worlds oceans and SOS Childrens Villages to improve youth employ ability,10.345,3,3.0,3.0
39,Albemarle Corp,Q127074,0,False,nothing,-2.88,-1,-1.0,-1.0
40,Alcon Inc,Q684825,0,True,We consider each country s stage of market development healthcare infrastructure,21.875,2,2.0,2.0
41,Alexandria Real Estate Equities Inc,Q48739877,0,False,nothing,1.404,1,0.6666666666666666,1.0
42,Alfa Laval AB,Q686030,0,False,nothing,10.59666666666667,1,1.0,1.0
43,Alibaba Group Holding Ltd,Q1359568,0,False,nothing,-105.8629411764706,-1,-0.42857142857142855,-1.0
