,company,wikidata_id,product_score,report_evidence_binary,report_evidence_content,average_sentiment_impactful,score_before_graph,graph_group_average,final_score
0,3M Co,Q159433,0,False,nothing,-16.44388888888888,-1,-1.0,-1.0
1,A O Smith Corp,Q4648219,1,True,29 31 RESPONSIBILITY SUSTAINABILITY REPORT 2020 WATER TREATMENT We manufacture industry leading water treatment solutions for households and light commercial installations that focus on efficiently delivering clean potable water with low environmental impacts,2.3400000000000007,3,3.0,3.0
2,A O Smith Corp,Q4648219,1,True,Employee Giving Volunteering 28 Industry RESPONSIBILITY SUSTAINABILITY REPORT 2020 A Letter from Our Chairman and CEO Water is one of our most precious resources and the worlds growing population is creating greater urgency to access heat treat conserve and distribute water efficiently safely equitably and environmentally A,2.3400000000000007,3,3.0,3.0
3,a2 Milk Co Ltd,Q22909318,0,False,nothing,-8.46,-1,-1.0,-1.0
4,ABB Ltd,Q52825,0,True,Through our leading technologies and sustainable business practices we enable seven of the SD G goals directly 7 affordable and clean energy 11 sustainable cities and communities 9 industry innovation and infrastructure 6 clean water and sanitation 12 responsible consumption and production 8 decent work and economic growth and 17 partnership for the goals,68.70545454545454,2,2.0,2.0
5,ABB Ltd,Q52825,0,True,Through our leading technologies and sustainable business practices we enable seven of the SD G goals directly 7 affordable and clean energy 11 sustainable cities and communities 9 industry innovation and infrastructure 6 clean water and sanitation 12 responsible consumption and production 8 decent work and economic growth and 17 partnership for the goals,68.70545454545454,2,2.0,2.0
6,Abbott Laboratories,Q306764,0,False,nothing,-6.77,-1,-1.0,-1.0
7,AbbVie Inc,Q14662364,0,True,Water Abb Vie recognizes the importance of access to clean safe water and sanitation and understands the potential impacts our operations can have on this vital patients customers and employees depend on this increasingly scarce resource and we are committed to managing and reducing the water we use,-26.65,0,0.0,0.0
8,ABN AMRO Bank NV,Q287471,0,False,nothing,-52.13,-1,-1.0,-1.0
9,Accenture PLC,Q338825,0,False,nothing,49.09142857142857,1,1.0,1.0
10,Accor SA,Q212599,0,False,nothing,160.8957142857143,1,1.0,1.0
11,Activision Blizzard Inc,Q344341,0,False,nothing,-88.65299999999999,-1,-1.0,-1.0
