,company,wikidata_id,product_score,report_evidence_binary,report_evidence_content,average_sentiment_impactful,score_before_graph,graph_group_average,final_score
0,3M Co,Q159433,0,False,nothing,-16.44388888888888,-1,-1.0,-1.0
1,A O Smith Corp,Q4648219,0,False,nothing,2.3400000000000007,1,1.0,1.0
2,a2 Milk Co Ltd,Q22909318,0,False,nothing,-8.46,-1,-1.0,-1.0
3,ABB Ltd,Q52825,0,True,Through our leading technologies and sustainable business practices we enable seven of the SD G goals directly 7 affordable and clean energy 11 sustainable cities and communities 9 industry innovation and infrastructure 6 clean water and sanitation 12 responsible consumption and production 8 decent work and economic growth and 17 partnership for the goals,68.70545454545454,2,2.0,2.0
4,ABB Ltd,Q52825,0,True,Through our leading technologies and sustainable business practices we enable seven of the SD G goals directly 7 affordable and clean energy 11 sustainable cities and communities 9 industry innovation and infrastructure 6 clean water and sanitation 12 responsible consumption and production 8 decent work and economic growth and 17 partnership for the goals,68.70545454545454,2,2.0,2.0
5,Abbott Laboratories,Q306764,0,False,nothing,-6.77,-1,-1.0,-1.0
6,AbbVie Inc,Q14662364,0,False,nothing,-26.65,-1,-1.0,-1.0
7,ABN AMRO Bank NV,Q287471,0,False,nothing,-52.13,-1,-1.0,-1.0
8,Accenture PLC,Q338825,0,False,nothing,49.09142857142857,1,1.0,1.0
9,Accor SA,Q212599,0,False,nothing,160.8957142857143,1,1.0,1.0
10,Activision Blizzard Inc,Q344341,0,False,nothing,-88.65299999999999,-1,-1.0,-1.0
11,Adani Transmission Ltd,Q83472792,0,False,nothing,15.06,1,1.0,1.0
12,adidas AG,Q3895,0,False,nothing,136.77517241379311,1,1.0,1.0
13,Adient PLC,Q26832896,0,False,nothing,-4.69,-1,-1.0,-1.0
14,Adobe Inc,Q11463,0,True,Green Building Councils Building Health Initiative and the Bay Area Councils Water Task Force to further our commitment to efficient work spaces that conserve natural resources and allow us to provide our products to customers with minimal or no environmental impact,46.590384615384615,2,2.0,2.0
15,ADT Inc,Q290680,0,False,nothing,12.25,1,1.0,1.0
16,Adtalem Global Education Inc,Q5244154,0,False,nothing,5.67,1,1.0,1.0
17,Advance Auto Parts Inc,Q4686051,0,False,nothing,-4.515000000000001,-1,-1.0,-1.0
18,Advanced Drainage Systems Inc,Q60745531,0,False,nothing,0.3400000000000001,1,1.0,1.0
19,Advanced Micro Devices Inc,Q128896,0,False,nothing,56.13510204081632,1,1.0,1.0
20,Adyen NV,Q4686934,0,False,nothing,29.82,1,1.0,1.0
21,AECOM,Q2825507,1,True,Our team is leading the development of a policy process planning and management instruments toolkit which can be used to mitigate the deterioration of urban natural assets and ecosystem services and promote green urban growth in African cities,-35.2,1,1.0,1.0
22,AECOM,Q2825507,1,True,Our team has significant PES experience we can advise both land and natural resource managers who are interested in generating and selling additional ecosystem services as well as buyers including government businesses and communities who are interested in purchasing ecosystem nature at the heart of decision making 16 A E COM Promoting green urban development in African Cities World Bank Africa We have been working with the World Bank to improve understanding amongst city level managers and planners of the impact of urban development on natural assets and ecosystem services in Africa and to enhance the ability of national and local governments to make well informed strategic planning land use budgetary and investment decisions to promote green urban development,-35.2,1,1.0,1.0
23,AECOM,Q2825507,1,True,From high performance buildings and infrastructure to resilient communities and environments to stable and secure nations our work is transformative differentiated and vital,-35.2,1,1.0,1.0
24,AES Corp,Q291508,0,False,nothing,51.00000000000001,1,1.0,1.0
25,Ageas SA/NV,Q392338,0,False,nothing,-6.386,-1,-1.0,-1.0
26,Agilent Technologies Inc,Q393762,0,False,nothing,380.1575,1,1.0,1.0
27,AIA Group Ltd,Q1152465,0,False,nothing,-11.7,-1,-1.0,-1.0
28,AIB Group PLC,Q1642179,0,False,nothing,-12.522499999999996,-1,-1.0,-1.0
29,Air Liquide SA,Q407448,0,False,nothing,131.552,1,1.0,1.0
30,Ajinomoto Co Inc,Q412826,0,False,nothing,4.46,1,1.0,1.0
31,Akamai Technologies Inc,Q415598,0,False,nothing,264.46,1,1.0,1.0
32,Akbank TAS,Q416624,0,True,Sustainable Cities and Communities Value Added to Our Customers Pages 54 8412,0.0,0,0.0,0.0
33,Akzo Nobel NV,Q50912,1,True,We supply a wide range of solutions to the construction industry that can help to make cities and communities more sustainable,10.345,3,3.0,3.0
34,Albemarle Corp,Q127074,0,False,nothing,-2.88,-1,-1.0,-1.0
35,Alcon Inc,Q684825,0,False,nothing,21.875,1,1.0,1.0
36,Alexandria Real Estate Equities Inc,Q48739877,2,False,nothing,1.404,3,1.8333333333333333,3.0
37,Alfa Laval AB,Q686030,0,False,nothing,10.59666666666667,1,1.0,1.0
38,Alibaba Group Holding Ltd,Q1359568,0,False,nothing,-105.8629411764706,-1,-0.42857142857142855,-1.0
39,Allegion plc,Q16738121,0,True,Our community impact projects span safe and secure housing hunger relief domestic violence shelters support for educators schools and children facing health and social challenges STEM and mentoring programs and many more needs identified by our local operations,23.11,2,2.0,2.0
40,Allianz SE,Q487292,0,False,nothing,-13.476363636363637,-1,0.0,-0.5
41,Allied Properties Real Estate Investment Trust,Q697852,1,True,Login Fran a is The cities we build have to be sustainable and conducive to human wellness diversity and creativity,51.05375000000001,3,3.0,3.0
42,Allied Properties Real Estate Investment Trust,Q697852,1,True,VISION To make a continuous contribution to cities and elevates and inspires the humanity in all of provide knowledge based organizations urban environments for human connectivity in a manner that is sustainable to human wellness and VALUES Respect for everyone involved in our business users investors trustees partners and neighbours,51.05375000000001,3,3.0,3.0
43,Allied Properties Real Estate Investment Trust,Q697852,1,True,Allied s dedication to sustainability is ree c ted in our mission statement To provide knowledge based organizations with distinctive urban work space in a manner that is sustainable and conducive to human wellness creativity connectivity and diversity Environmental social and governance ES G issues are a critical consideration of day to day business operations and long range planning,51.05375000000001,3,3.0,3.0
44,Allied Properties Real Estate Investment Trust,Q697852,1,True,This is encouraging and it is Allied to submit to scrutiny in this regard just as we submit financial and operational cities we build have to and human wellness diversity and creativity,51.05375000000001,3,1.8333333333333333,3.0
45,Allison Transmission Holdings Inc,Q2036530,0,False,nothing,9.2,1,1.0,1.0
46,Alphabet Inc,Q20800404,0,True,3 Alphabet Sustainability Bond Framework 2020 Introduction 3 Our sustainability approach We firmly believe that every business has the opportunity and obligation to protect our planet and support the communities where it operates,-7.686999999999998,0,0.0,0.0
47,Alphabet Inc,Q20800404,0,True,11 Sustainable Communities Eligible project categories 7 Alphabet Sustainability Bond Framework 2020 Our framework Green and project category Eligibility example projects Intended environmental and or social goal SD G 1 Circular design Expenditures related to projects that increase waste diversion from landfill and design out waste,-7.686999999999998,0,0.0,0.0
