,company,wikidata_id,product_score,report_evidence_binary,report_evidence_content,average_sentiment_impactful,score_before_graph,graph_group_average,final_score
0,3M Co,Q159433,0,False,nothing,-16.44388888888888,-1,-1.0,-1.0
1,A O Smith Corp,Q4648219,0,False,nothing,2.3400000000000007,1,1.0,1.0
2,a2 Milk Co Ltd,Q22909318,0,False,nothing,-8.46,-1,-1.0,-1.0
3,ABB Ltd,Q52825,0,True,Through our leading technologies and sustainable business practices we enable seven of the SD G goals directly 7 affordable and clean energy 11 sustainable cities and communities 9 industry innovation and infrastructure 6 clean water and sanitation 12 responsible consumption and production 8 decent work and economic growth and 17 partnership for the goals,68.70545454545454,2,2.0,2.0
4,ABB Ltd,Q52825,0,True,Through our leading technologies and sustainable business practices we enable seven of the SD G goals directly 7 affordable and clean energy 11 sustainable cities and communities 9 industry innovation and infrastructure 6 clean water and sanitation 12 responsible consumption and production 8 decent work and economic growth and 17 partnership for the goals,68.70545454545454,2,2.0,2.0
5,Abbott Laboratories,Q306764,0,False,nothing,-6.77,-1,-1.0,-1.0
6,AbbVie Inc,Q14662364,0,True,focused on reducing our environmental footprint growing sustain ably as well as inspiring educating and engaging our workforce to steward sustainability within and beyond Abb Vie,-26.65,0,0.0,0.0
7,ABN AMRO Bank NV,Q287471,0,False,nothing,-52.13,-1,-1.0,-1.0
8,Accenture PLC,Q338825,0,True,From gender equality and climate action to decent work and economic growth and quality education we are committed to contribute to the new sus tain able development set ambitious goals and make stra te gic investments to drive progress and performance across our organization workforce communities environment and supply chain,49.09142857142857,2,2.0,2.0
9,Accenture PLC,Q338825,0,True,Our analysis focuses on twelve industry sectors and how each is uniquely positioned to advance specific S DGs while benefiting from reduced costs and risks strengthened trust with stakeholders and new opportunities for growth,49.09142857142857,2,2.0,2.0
10,Accor SA,Q212599,0,False,nothing,160.8957142857143,1,1.0,1.0
11,Activision Blizzard Inc,Q344341,0,False,nothing,-88.65299999999999,-1,-1.0,-1.0
12,Adani Transmission Ltd,Q83472792,0,True,However certain issues which were flagged were addressed and adequate steps have GRI LA 5 SO 1 A dani Transmission Limited 67 NO POVERTY GOOD HEALTH AND WELL BEING GENDER EQUALITY QUALITY EDUCATION CLEAN WATER AND SANITATION DECENT WORK AND ECONOMIC GROWTH LIFE ON LAND been taken to address them as part of our future CSR focus areas are primarily linked to the following S DGs No Poverty SD G 1 Good Health and Well Being SD G 3 Quality Education SD G 4 Gender Equality SD G 5 Clean Water and Sanitation SD G 6 Decent Work and Economic Growth SD G 8 and Life on Land SD G 15,15.06,2,2.0,2.0
13,Adani Transmission Ltd,Q83472792,0,True,The areas include education and awareness skill building for women and providing economic opportunities for destitute create economic opportunity for all we aim to not only compensate our employees with the most competitive salaries but also help people enter the workforce and build the skills needed to advance in their careers,15.06,2,2.0,2.0
14,adidas AG,Q3895,0,False,nothing,136.77517241379311,1,1.0,1.0
15,Adient PLC,Q26832896,0,False,nothing,-4.69,-1,-1.0,-1.0
16,Adobe Inc,Q11463,0,False,nothing,46.590384615384615,1,1.0,1.0
17,ADT Inc,Q290680,0,True,We take our social responsibilities seriously and are committed to growing our business in a sustainable these reasons we are committed to minimizing impacts on the environment by reducing our greenhouse gas emissions waste energy,12.25,2,2.0,2.0
18,Adtalem Global Education Inc,Q5244154,2,False,nothing,5.67,3,3.0,3.0
19,Advance Auto Parts Inc,Q4686051,0,False,nothing,-4.515000000000001,-1,-1.0,-1.0
20,Advanced Drainage Systems Inc,Q60745531,0,False,nothing,0.3400000000000001,1,1.0,1.0
21,Advanced Micro Devices Inc,Q128896,0,False,nothing,56.13510204081632,1,1.0,1.0
22,Adyen NV,Q4686934,0,True,Report 2020 page 34 Environmental sustainability projects This year the environmental sustainability projects we supported were focused on the S DGs of climate action quality education decent work and economic growth,29.82,2,2.0,2.0
23,AECOM,Q2825507,0,True,helps Work Life Balance Career Grow thE S CR SOLUTIONS KNOWLEDGE COMMUNITY ENVIRONMENT WORKPLACE MARKET SPACE 37 39 Economic Performance 40 Corporate Governance 41 Ethics Compliance 42 Sustainable Procurement 43 Supplier Diversity Market space ES CR SOLUTIONS KNOWLEDGE COMMUNITY ENVIRONMENT WORKPLACE MARKET SPACE In pursuing growth we are committed to conducting our business in an ethically sound and sustainable way,-35.2,0,0.0,0.0
24,AES Corp,Q291508,0,False,nothing,51.00000000000001,1,1.0,1.0
25,Ageas SA/NV,Q392338,0,False,nothing,-6.386,-1,-1.0,-1.0
26,Agilent Technologies Inc,Q393762,0,False,nothing,380.1575,1,1.0,1.0
27,AIA Group Ltd,Q1152465,0,True,WORKFORCE WELLBEING Our benefits and workforce well being programmes help our employees and their families live Healthier Longer Better Lives,-11.7,0,0.0,0.0
28,AIB Group PLC,Q1642179,1,False,nothing,-12.522499999999996,0,0.0,0.0
29,Air Liquide SA,Q407448,0,False,nothing,131.552,1,1.0,1.0
30,Ajinomoto Co Inc,Q412826,0,False,nothing,4.46,1,1.0,1.0
31,Akamai Technologies Inc,Q415598,0,False,nothing,264.46,1,1.0,1.0
32,Akbank TAS,Q416624,0,True,Decent Work and Economic Growth Our Distinctive Employees Pages 80 1029,0.0,0,0.0,0.0
33,Akzo Nobel NV,Q50912,0,False,nothing,10.345,1,1.0,1.0
34,Albemarle Corp,Q127074,0,False,nothing,-2.88,-1,-1.0,-1.0
35,Alcon Inc,Q684825,0,False,nothing,21.875,1,1.5,1.0
36,Alexandria Real Estate Equities Inc,Q48739877,0,False,nothing,1.404,1,0.5,1.0
37,Alfa Laval AB,Q686030,0,False,nothing,10.59666666666667,1,1.0,1.0
38,Alibaba Group Holding Ltd,Q1359568,0,True,of our management team continuing innovation and sustainability of our business,-105.8629411764706,0,-0.14285714285714285,-0.5
39,Allegion plc,Q16738121,0,False,nothing,23.11,1,1.0,1.0
40,Allianz SE,Q487292,0,False,nothing,-13.476363636363637,-1,0.5,-0.5
41,Allied Properties Real Estate Investment Trust,Q697852,0,False,nothing,51.05375000000001,1,0.5,1.0
42,Allison Transmission Holdings Inc,Q2036530,0,False,nothing,9.2,1,1.0,1.0
43,Alphabet Inc,Q20800404,0,True,Example projects may include but are not limited to Loans to capitalize NGOs and financial institutions that provide S MBs access to capital Training to help small business owners grow their skills Target population S MBs affected by C OVID 19 8 Decent Work and Economic Growth Eligible project categories 8 Alphabet Sustainability Bond Framework 2020 Our framework Process for project evaluation and selection A committee consisting of representatives from Alphabets Sustainability Treasury and Finance teams shall be responsible for the assessment and selection of Eligible Projects on an annual basis to ensure alignment with this Framework,-7.686999999999998,0,0.0,0.0
44,Alstom SA,Q309084,0,False,nothing,81.90727272727273,1,1.0,1.0
45,Altice USA Inc,Q644289,0,False,nothing,-70.21000000000001,-1,-1.0,-1.0
46,Altium Ltd,Q1066620,0,False,nothing,3.344999999999999,1,1.0,1.0
47,Amadeus IT Group SA,Q696061,0,False,nothing,0.0,-1,-1.0,-1.0
48,Amazon.com Inc,Q3884,0,False,nothing,29.50431309904153,1,1.0,1.0
49,AMC Entertainment Holdings Inc,Q294721,0,False,nothing,-41.481923076923074,-1,-1.0,-1.0
50,American Axle & Manufacturing Holdings Inc,Q4743120,0,False,nothing,24.360000000000003,1,1.0,1.0
