,company,wikidata_id,product_score,report_evidence_binary,report_evidence_content,average_sentiment_impactful,score_before_graph,graph_group_average,final_score
0,3M Co,Q159433,0,False,nothing,-16.44388888888888,-1,-1.0,-1.0
1,A O Smith Corp,Q4648219,1,True,Click any of the areas below to learn more about our work in helping people access safe and clean water which protect their health and our planet,2.3400000000000007,3,3.0,3.0
2,A O Smith Corp,Q4648219,1,True,And we welcome your input as we look to evolve our practices and you for sharing our interest in helping people access safe and clean water which protect their health and our planet,2.3400000000000007,3,3.0,3.0
3,a2 Milk Co Ltd,Q22909318,0,False,nothing,-8.46,-1,-1.0,-1.0
4,ABB Ltd,Q52825,0,True,Our solutions and responsible business practices drive sustainability across our value chain and contribute to the United Nations Sustainable Development Goals,68.70545454545454,2,2.0,2.0
5,ABB Ltd,Q52825,0,True,Discover more Policies statements and declarations From human rights to our health safety and environment management system and from social topics to labor and tax we embrace several standards statements and policies to demonstrate and embed our commitment to sustainability,68.70545454545454,2,2.0,2.0
6,Abbott Laboratories,Q306764,2,True,Protect a healthy environment Were working across our operations and with key suppliers to sustain ably manage our water use and address climate change by reducing carbon emissions and expanding renewable energy,-6.77,2,2.0,2.0
7,Abbott Laboratories,Q306764,2,True,Our 2030 Sustainability Plan is focused on designing access and afford ability into our life changing technologies and products,-6.77,2,2.0,2.0
8,AbbVie Inc,Q14662364,2,True,focused on reducing our environmental footprint growing sustain ably as well as inspiring educating and engaging our workforce to steward sustainability within and beyond Abb Vie,-26.65,2,2.0,2.0
9,AbbVie Inc,Q14662364,2,True,Describe your sustainability efforts with goals and targets that focus on Reduction of hazardous materials in products and services including packaging Providing a safe and healthful workplace for employees Reducing waste sent to the environment Incorporating an environmental health safety management system into your operations,-26.65,2,2.0,2.0
10,AbbVie Inc,Q14662364,2,True,Water Abb Vie recognizes the importance of access to clean safe water and sanitation and understands the potential impacts our operations can have on this vital patients customers and employees depend on this increasingly scarce resource and we are committed to managing and reducing the water we use,-26.65,2,2.0,2.0
11,AbbVie Inc,Q14662364,2,True,For the Growth of Our Employees Cultivating a Diverse Inclusive Workplace Developing Our Peoples Capabilities Protecting Human Rights Workplace Safety Providing Resources Support for Employee Well Being,-26.65,2,2.0,2.0
12,AbbVie Inc,Q14662364,2,True,We seek innovative ways to improve the health of patients operate responsibly be stewards of the environment and actively engage the communities where we work and live,-26.65,2,2.0,2.0
13,AbbVie Inc,Q14662364,2,True,We seek sustainable solutions that support the health of our planet,-26.65,2,2.0,2.0
14,ABN AMRO Bank NV,Q287471,0,False,nothing,-52.13,-1,-1.0,-1.0
15,Accenture PLC,Q338825,0,True,We create our global Corporate Citizenship report according to the GRI Standards as a basis for members of the United Nations Glob al Compact since January 2008 we globally document our progress to im ple ment the 10 Principles as a member of Global Compact LEAD which focuses on raising sustainability performance,49.09142857142857,2,2.0,2.0
16,Accenture PLC,Q338825,0,True,We want our people to be at their best mentally focused physically e ner gi zed and il led with a sense of purpose and belonging,49.09142857142857,2,2.0,2.0
17,Accenture PLC,Q338825,0,True,Rebuild for the better Delivering on the promise of sustainability series 03 Creating value responsible business The C OVID 19 pandemic has highlighted our global interconnected ness and collective reliance on one another as never before,49.09142857142857,2,2.0,2.0
18,Accor SA,Q212599,0,True,Hospitality of the heart Our actions Get involved Our stories IN FOCUS Future is About Sustainable Growth,160.8957142857143,2,2.0,2.0
19,Accor SA,Q212599,0,True,Jr me Galland service included for healthy and sustainable food OUR 9 END 2020 We feed our guests like we would feed our own family in a responsible way Amir Naha i,160.8957142857143,2,1.5,2.0
20,Activision Blizzard Inc,Q344341,0,False,nothing,-88.65299999999999,-1,-1.0,-1.0
21,Adani Transmission Ltd,Q83472792,0,True,However certain issues which were flagged were addressed and adequate steps have GRI LA 5 SO 1 A dani Transmission Limited 67 NO POVERTY GOOD HEALTH AND WELL BEING GENDER EQUALITY QUALITY EDUCATION CLEAN WATER AND SANITATION DECENT WORK AND ECONOMIC GROWTH LIFE ON LAND been taken to address them as part of our future CSR focus areas are primarily linked to the following S DGs No Poverty SD G 1 Good Health and Well Being SD G 3 Quality Education SD G 4 Gender Equality SD G 5 Clean Water and Sanitation SD G 6 Decent Work and Economic Growth SD G 8 and Life on Land SD G 15,15.06,2,2.0,2.0
22,Adani Transmission Ltd,Q83472792,0,True,In alignment with the Sustainable Development Goals S DGs we engage with local groups and associations to implement targeted programmes that emphasise good health quality education sustainable livelihoods and community believe that when we help our communities address their most pressing challenges we are assisting in making our society and in turn ATL more resilient,15.06,2,2.0,2.0
23,Adani Transmission Ltd,Q83472792,0,True,We have also provided e learning kits and training to teachers to utilise in government Health We are committed to promote and protect community health through a range of initiatives from delivering preventive healthcare services improving community hygiene and sanitation organising health camps blood donation drives and improving the quality of healthcare infrastructure,15.06,2,2.0,2.0
24,Adani Transmission Ltd,Q83472792,0,True,21 59 63 PF 2 Labour and Working Conditions Occupational Health and Safety Human Rights Training and Education Pg s,15.06,2,2.0,2.0
25,Adani Transmission Ltd,Q83472792,0,True,Being the nature of our work in projects and OM our organisational focus continues to be on health safety and security,15.06,2,2.0,2.0
26,adidas AG,Q3895,0,False,nothing,136.77517241379311,1,1.0,1.0
27,Adient PLC,Q26832896,0,False,nothing,-4.69,-1,-1.0,-1.0
28,Adobe Inc,Q11463,0,False,nothing,46.590384615384615,1,1.0,1.0
29,ADT Inc,Q290680,0,True,Environment Health and Safety As an industry leader we are committed to conducting our business operations in a manner that sustains the environment protects the health and safety of our employees and complies with applicable environmental sustainability efforts include an aggressive program to promote green enterprises and recognize and encourage efforts that reduce greenhouse gasses and the environmental impact of our business,12.25,2,2.0,2.0
30,ADT Inc,Q290680,0,True,Our vision is clear To build a culture that promotes safe behaviors on each task every day and results employee environmental impact We recognized that for us to achieve this vision we need to incorporate our EH S Values focused on People Prevention and Accountability into our business and the decisions we make each EH S values are value the health and safety of,12.25,2,2.0,2.0
31,ADT Inc,Q290680,0,True,Help us create a safe and ethical workplace by speaking up and reporting the Code of Conduct 10 A DT Code of Conduct 10 A DT Code of Conduct 10 y coworker drive Promoting a Safe Workplace Our commitment to safety is part of everything that we do,12.25,2,2.0,2.0
32,ADT Inc,Q290680,0,True,A DT encourages each of us to become actively involved in the life of our communities by participating in initiatives that improve the quality of life of and Communities A DT Code of Conduct 30 Health Safety and the Environment Our commitment to the environment health and safety extends beyond sites to our customers and the communities where we operate,12.25,2,2.0,2.0
33,Adtalem Global Education Inc,Q5244154,0,True,Health and wellness is a strong focus of Ad tale ms charitable giving in the Caribbean where our two medical schools and our veterinary school are located,5.67,2,2.0,2.0
34,Adtalem Global Education Inc,Q5244154,0,True,Health and Wellbeing As a reflection of our substantial presence in medical and healthcare education our Foundation supports organizations that improve community health and wellbeing in particular for under served populations who may not have access to quality or affordable health care,5.67,2,2.0,2.0
35,Adtalem Global Education Inc,Q5244154,0,True,22 SAFEGUARDING GLOBAL HEALTH AND THE ENVIRONMENT One Health Approach At Ad tale m we value all life,5.67,2,2.0,2.0
36,Adtalem Global Education Inc,Q5244154,0,True,7 OUR APPROACH TO SUSTAINABILITY Ad tale ms Sustainability Commitment Safeguarding Global Health and the Environment Ad tale m Global Education operates in a sustainable ethical and responsible manner as we increase access and equity in education and workforce training,5.67,2,2.0,2.0
37,Adtalem Global Education Inc,Q5244154,0,True,Maarten government and the country s community organizations to extend our educational mission to be net the health and well being of the local community as well as enhance student learning,5.67,2,2.0,2.0
38,Adtalem Global Education Inc,Q5244154,0,True,18 Safeguarding Global Health and the Environment Protecting the health of our planet and its people is a vital component of our operations at Ad tale m it is foundational to how we inspire empower and unite our professionals and global community,5.67,2,2.0,2.0
39,Adtalem Global Education Inc,Q5244154,0,True,23 SAFEGUARDING GLOBAL HEALTH AND THE ENVIRONMENT Leading Through Education and Research The interdisciplinary skill sets of our colleagues and faculty are exempli ed by the groundbreaking research and education they provide across our institutions,5.67,2,2.0,2.0
40,Adtalem Global Education Inc,Q5244154,0,True,We educate and empower professionals to lead and provide critical services to safeguard the well being of all life and the approach is exempli ed by our One Health framework our interdisciplinary approach to education innovation and impact,5.67,2,2.0,2.0
41,Advance Auto Parts Inc,Q4686051,0,False,nothing,-4.515000000000001,-1,-1.0,-1.0
42,Advanced Drainage Systems Inc,Q60745531,0,False,nothing,0.3400000000000001,1,1.0,1.0
