,company,wikidata_id,product_score,report_evidence_binary,report_evidence_content,average_sentiment_impactful,score_before_graph,graph_group_average,final_score
0,3M Co,Q159433,0,False,nothing,-16.44388888888888,-1,-1.0,-1.0
1,A O Smith Corp,Q4648219,0,True,Our highly efficient water heating systems conserve energy and our water treatment products conserve water and reduce reliance on single use plastics,2.3400000000000007,2,2.0,2.0
2,A O Smith Corp,Q4648219,0,True,Examples include but are not limited to exploring the opportunity for further energy and water savings exploring the use of new renewable energy supplies and making environmentally friendly modifications to our facilities that use less water and energy to design sales and installation of our high efficiency products contribute to de carbon iz ation goals by reducing energy and water use and in turn reducing greenhouse gas emissions,2.3400000000000007,2,2.0,2.0
3,A O Smith Corp,Q4648219,0,True,Our highly efficient water heating systems conserve energy and our water treatment products conserve water and reduce reliance on single use is our core products in other words and not mere add on programs that promote key environmental and social goals,2.3400000000000007,2,2.0,2.0
4,a2 Milk Co Ltd,Q22909318,0,False,nothing,-8.46,-1,-1.0,-1.0
5,ABB Ltd,Q52825,0,True,Through our leading technologies and sustainable business practices we enable seven of the SD G goals directly 7 affordable and clean energy 11 sustainable cities and communities 9 industry innovation and infrastructure 6 clean water and sanitation 12 responsible consumption and production 8 decent work and economic growth and 17 partnership for the goals,68.70545454545454,2,2.0,2.0
6,ABB Ltd,Q52825,0,True,Through our leading technologies and sustainable business practices we enable seven of the SD G goals directly 7 affordable and clean energy 11 sustainable cities and communities 9 industry innovation and infrastructure 6 clean water and sanitation 12 responsible consumption and production 8 decent work and economic growth and 17 partnership for the goals,68.70545454545454,2,2.0,2.0
7,Abbott Laboratories,Q306764,0,True,Protect a healthy environment Were working across our operations and with key suppliers to sustain ably manage our water use and address climate change by reducing carbon emissions and expanding renewable energy,-6.77,0,0.0,0.0
8,AbbVie Inc,Q14662364,0,True,We recognize the environmental risks associated with operating a global business so we have set ambitious long term environmental sustainability targets for absolute reductions to carbon emissions water and waste generation striving for zero waste to landfill at our sites all while driving increases in renewable electricity and fleet sustainability,-26.65,0,0.0,0.0
9,AbbVie Inc,Q14662364,0,True,focused on reducing our environmental footprint growing sustain ably as well as inspiring educating and engaging our workforce to steward sustainability within and beyond Abb Vie,-26.65,0,0.0,0.0
10,ABN AMRO Bank NV,Q287471,0,False,nothing,-52.13,-1,-1.0,-1.0
11,Accenture PLC,Q338825,0,False,nothing,49.09142857142857,1,1.0,1.0
12,Accor SA,Q212599,0,False,nothing,160.8957142857143,1,1.0,1.0
13,Activision Blizzard Inc,Q344341,0,False,nothing,-88.65299999999999,-1,-1.0,-1.0
14,Adani Transmission Ltd,Q83472792,1,True,Safety Swac hh agra h focusses on building awareness about general safety and cleanliness among school students Ensure access to affordable reliable double the global rate of improvement in Contribution to the Student Solar Ambassadors Workshop as a part of Gandhi Global Solar Yat ra by I IT Bombay to promote the idea of Energy Swaraj Promote sustained inclusive and sustainable We have a Skill Development Centre at Dah anu and will be starting a Skill Development Centre at Mumbai with a focus on destitute women Make cities and human settlements inclusive safe resilient and sustainable We support the livelihood of land owning tribal families and landless tribal families near our Generating Station,15.06,3,3.0,3.0
15,Adani Transmission Ltd,Q83472792,1,True,We are embracing the transition to a low carbon economy and are moving towards our goal of becoming a leader in the transmission and distribution of reliable clean power,15.06,3,3.0,3.0
16,Adani Transmission Ltd,Q83472792,1,True,We are pursuing aggressive adoption of green and renewable power,15.06,3,3.0,3.0
17,Adani Transmission Ltd,Q83472792,1,True,We are embracing the transition to a low carbon economy and are moving towards our goal of becoming a leader in the transmission and distribution of reliable clean Indicators and Initiatives Co 2 Emissions Water Waste Land Use Scope 1 t CO 2 e 31 87 008 Scope 2 t CO 2 e 21 155 Freshwater KL 18 16 542 Water recycled KL 2 04 494 Fly ash util is ation at generating station 100 Hazardous waste generated 93,15.06,3,3.0,3.0
18,adidas AG,Q3895,0,False,nothing,136.77517241379311,1,1.0,1.0
19,Adient PLC,Q26832896,0,False,nothing,-4.69,-1,-1.0,-1.0
